antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'DS0103EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.12431859032913929,0.426584553731915,0.1118543182956655,0.8997392747096469,2.1091698394571585,0.05882192791952885,5.719242949893738,0.6005378286841162
"frozenset({'PY0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.07773226861537555,0.426584553731915,0.07248725579750714,0.9325246398786959,2.186025330079665,0.039327870679647825,8.498145771096668,0.5882768534385239
"frozenset({'DS0103EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.1118543182956655,0.44010961487462064,0.07248725579750714,0.6480505795574288,1.4724753962533785,0.02325909485033857,1.5908262739041465,0.36128251418873303
"frozenset({'DA0101EN', 'DS0103EN'})",frozenset({'PY0101EN'}),0.0988596517075758,0.44010961487462064,0.09261278250876624,0.9368107302533533,2.1285850128955577,0.049103699269105926,8.860529443847403,0.5883704369404723
"frozenset({'PY0101EN', 'DS0103EN'})",frozenset({'DA0101EN'}),0.14921766803194153,0.2446592214986593,0.09261278250876624,0.62065560821485,2.5368167380449673,0.056105304014226046,1.9911742333840656,0.7120566143729329
"frozenset({'DA0101EN', 'DS0103EN'})",frozenset({'DS0101EN'}),0.0988596517075758,0.426584553731915,0.08987241064325073,0.9090909090909092,2.1310919514967317,0.04770041023748196,6.30756990894894,0.5889837159113205
"frozenset({'DA0101EN', 'DS0101EN'})",frozenset({'DS0103EN'}),0.14901140348292424,0.22745086483778768,0.08987241064325073,0.6031243820446905,2.651668888904089,0.055979638050367084,1.9465774671227245,0.7319475387130465
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.049591890856587204,0.44010961487462064,0.046468456257182426,0.9370172311348782,2.1290542161907045,0.024642588271385612,8.889580360056735,0.5579791138654936
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.049591890856587204,0.426584553731915,0.046026460795002506,0.9281045751633987,2.1756638093058136,0.024871326165223417,7.975687570819731,0.5685664492317581
"frozenset({'DA0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'DS0103EN'}),0.07337124672186698,0.22745086483778768,0.046026460795002506,0.6273092369477913,2.7579989084463263,0.02933810727388717,2.0728958475796437,0.6878895926634196
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN', 'BD0101EN'})",frozenset({'DA0101EN'}),0.07248725579750714,0.2446592214986593,0.0436102189350856,0.6016260162601625,2.459036747419142,0.025875543363093324,1.896059505217651,0.6397073281306214
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.046468456257182426,0.426584553731915,0.0436102189350856,0.9384908053265694,2.200011221963652,0.02378749326000442,9.322434626440916,0.572038615407744
"frozenset({'DA0101EN', 'PY0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'DS0103EN'}),0.06856822936617851,0.22745086483778768,0.0436102189350856,0.6360120326600773,2.796261219378811,0.028014315865352506,2.122457895540104,0.6896690022828903
"frozenset({'DA0101EN', 'DS0103EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.046026460795002506,0.44010961487462064,0.0436102189350856,0.9475032010243277,2.1528800303402926,0.02335353100055522,10.665229043485873,0.5613425440884899
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})","frozenset({'PY0101EN', 'DS0101EN'})",0.049591890856587204,0.26619913368889414,0.0436102189350856,0.8793820558526441,3.303474521747972,0.030408900551067895,6.083679103456113,0.7336726305892921
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN'})",frozenset({'DS0101EN'}),0.09261278250876624,0.426584553731915,0.08524619147243422,0.9204581609926822,2.1577390764390865,0.045739008976061264,7.2089789904823665,0.5913152891528266
"frozenset({'DA0101EN', 'PY0101EN', 'DS0101EN'})",frozenset({'DS0103EN'}),0.13893390694522204,0.22745086483778768,0.08524619147243422,0.6135737009544008,2.6976098833125404,0.05364555418245075,1.9992146939022122,0.7308399225609369
"frozenset({'DA0101EN', 'DS0103EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.08987241064325073,0.44010961487462064,0.08524619147243422,0.9485245901639344,2.1552007911350723,0.04569247943637938,10.876851430779661,0.5889351292235915
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN'})",frozenset({'DA0101EN'}),0.13684179509090375,0.2446592214986593,0.08524619147243422,0.6229543496985357,2.5462124251137186,0.05176658441701465,2.0033138637122936,0.7035324318825134
"frozenset({'DA0101EN', 'DS0103EN'})","frozenset({'PY0101EN', 'DS0101EN'})",0.0988596517075758,0.26619913368889414,0.08524619147243422,0.8622950819672132,3.2392858309410353,0.058929837831091736,5.328792005354461,0.7671279832839865
"frozenset({'DS0103EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.09178772431269705,0.3916374458555559,0.08194595868815747,0.8927768860353131,2.279600419936831,0.045998448777438895,5.673800467544749,0.6180566419923883
"frozenset({'DS0103EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.12431859032913929,0.3123139935763326,0.08194595868815747,0.6591609386110453,2.110571258953019,0.04311952326668394,2.017626746245795,0.6008973382517709
"frozenset({'DS0103EN', 'BD0111EN'})",frozenset({'PY0101EN'}),0.09178772431269705,0.44010961487462064,0.05857913192091228,0.6382022471910113,1.4500983973568122,0.01818247192343332,1.5475231141664214,0.3417610980267432
"frozenset({'DS0103EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.09178772431269705,0.426584553731915,0.08123876594866959,0.885072231139647,2.074787339102452,0.04208354053466967,4.989355070181804,0.5703764489312508
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.05857913192091228,0.3916374458555559,0.05227332999381206,0.892354124748491,2.2785209488819156,0.029331548387870315,5.651517559061473,0.5960339553282548
"frozenset({'PY0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.07773226861537555,0.3123139935763326,0.05227332999381206,0.6724791508718726,2.1532149205716333,0.027996454752795902,2.09967093165004,0.5807187633060809
"frozenset({'DS0103EN', 'BD0111EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.08194595868815747,0.44010961487462064,0.05227332999381206,0.6379000359582883,1.4494117247132048,0.016208125675035503,1.546231540251916,0.3377414640917443
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.05857913192091228,0.426584553731915,0.05442437457642101,0.9290744466800804,2.1779373832273183,0.029435421727935673,8.084751114758525,0.5745039175948443
"frozenset({'DS0103EN', 'BD0111EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.08123876594866959,0.44010961487462064,0.05442437457642101,0.6699310845121509,1.5221914311120022,0.018670412581862597,1.696283287682056,0.37338580705566615
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.05442437457642101,0.3916374458555559,0.049002563573680644,0.9003789929615593,2.2990115028317235,0.027687940522285067,6.106769769047765,0.5975518343534336
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.07248725579750714,0.3123139935763326,0.049002563573680644,0.6760162601626016,2.164540411466951,0.026363779232172018,2.1225941979952596,0.5800547397367578
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.05227332999381206,0.426584553731915,0.049002563573680644,0.9374295377677565,2.197523397335384,0.0267035684261892,9.164315330446694,0.5749994078007902
"frozenset({'DS0103EN', 'BD0111EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.07331231399357634,0.44010961487462064,0.049002563573680644,0.6684083601286174,1.5187315558171457,0.0167371092964005,1.6884936705356897,0.3685770241798961
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN'})","frozenset({'DS0101EN', 'BD0101EN'})",0.05857913192091228,0.2267436720982998,0.049002563573680644,0.8365191146881288,3.6892721501196917,0.03572011609360226,4.729949476518708,0.7743017486132955
"frozenset({'PY0101EN', 'DS0103EN', 'BD0101EN'})","frozenset({'BD0111EN', 'DS0101EN'})",0.07773226861537555,0.16339098918584435,0.049002563573680644,0.630401819560273,3.8582410370454436,0.036301811312954665,2.263563662079736,0.8032532301437935
"frozenset({'DS0103EN', 'BD0111EN', 'DS0101EN'})","frozenset({'PY0101EN', 'BD0101EN'})",0.08123876594866959,0.21189262456905442,0.049002563573680644,0.6031918752266957,2.8466865066845184,0.03178866824006592,1.986117032964458,0.7060750585219491
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'PY0101EN'}),0.038424138845507855,0.44010961487462064,0.03621416153460824,0.942484662576687,2.1414771018924093,0.01930332858542283,9.734627496046567,0.5543323402057205
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'DA0101EN'}),0.05857913192091228,0.2446592214986593,0.03621416153460824,0.6182092555331992,2.5268177170938433,0.021882236722770582,1.978415635916555,0.6418439569104758
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.038424138845507855,0.3916374458555559,0.03444617968588856,0.8964723926380369,2.289036459932064,0.01939784808923462,5.87633163410634,0.5856375817779277
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.049591890856587204,0.3123139935763326,0.03444617968588856,0.6945929887106359,2.2240213470962216,0.018957938203466196,2.2517034023560947,0.579081788941848
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.038424138845507855,0.426584553731915,0.035536435159265696,0.924846625766871,2.1680265205947573,0.01914529103732159,7.629936142179403,0.5602792785884162
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN'})",frozenset({'DS0103EN'}),0.05389398002180511,0.22745086483778768,0.035536435159265696,0.6593767085839256,2.8989852777837393,0.023278202793755674,2.2680455348502186,0.692366078539655
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.03621416153460824,0.3916374458555559,0.03258979874473289,0.899918633034988,2.2978360280873065,0.0184069770175184,6.078679504418888,0.5860305423782715
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.046468456257182426,0.3123139935763326,0.03258979874473289,0.7013316423589093,2.2455978815675355,0.018077049595725127,2.3025070745862495,0.5817157285689699
"frozenset({'PY0101EN', 'DS0103EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DA0101EN'}),0.05227332999381206,0.2446592214986593,0.03258979874473289,0.6234498308906427,2.548237614228079,0.019800646523304315,2.0059499117685307,0.6410834864160232
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.03444617968588856,0.44010961487462064,0.03258979874473289,0.9461077844311377,2.1497094188698127,0.017429703869274494,10.389077146215376,0.5539006100425238
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN'})","frozenset({'PY0101EN', 'BD0101EN'})",0.038424138845507855,0.21189262456905442,0.03258979874473289,0.848159509202454,4.002779761341077,0.024448007117952475,5.190363725060369,0.7801502145982204
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})","frozenset({'PY0101EN', 'BD0111EN'})",0.049591890856587204,0.16630815923623185,0.03258979874473289,0.657159833630422,3.9514587657540092,0.024342262663329756,2.4317216083282878,0.7859033366594789
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.035536435159265696,0.3916374458555559,0.03211833691840764,0.9038142620232174,2.3077830569770468,0.018200938217821247,6.324872761191384,0.5875636232968269
"frozenset({'DA0101EN', 'DS0103EN', 'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.046026460795002506,0.3123139935763326,0.03211833691840764,0.6978233034571063,2.234364510748544,0.017743629137335903,2.275774453461374,0.5790993446920053
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.03444617968588856,0.426584553731915,0.03211833691840764,0.932420872540633,2.185782078566793,0.01742412872933351,8.485096920093557,0.5618514874659547
"frozenset({'DA0101EN', 'BD0111EN', 'DS0101EN', 'BD0101EN'})",frozenset({'DS0103EN'}),0.047205115360815626,0.22745086483778768,0.03211833691840764,0.6803995006242198,2.9914131173317977,0.02138149260482259,2.417233817441142,0.6986916497730894
"frozenset({'DA0101EN', 'DS0103EN', 'BD0111EN'})","frozenset({'DS0101EN', 'BD0101EN'})",0.038424138845507855,0.2267436720982998,0.03211833691840764,0.8358895705521472,3.6864956927652006,0.023405906579362264,4.711804913943069,0.7578597901544478
"frozenset({'DA0101EN', 'DS0103EN', 'BD0101EN'})","frozenset({'BD0111EN', 'DS0101EN'})",0.049591890856587204,0.16339098918584435,0.03211833691840764,0.6476530005941771,3.9638232427708906,0.024015468815753428,2.3743894860037504,0.7867339404030964
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN', 'DA0101EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.034004184223708635,0.3916374458555559,0.030792350531867872,0.9055459272097054,2.3122046596731454,0.017475038674092835,6.440829242960447,0.5874894313732159
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN', 'DA0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.0436102189350856,0.3123139935763326,0.030792350531867872,0.7060810810810811,2.260805137149604,0.01717226889551309,2.3397133092115587,0.5831092237900922
"frozenset({'PY0101EN', 'DS0103EN', 'DS0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DA0101EN'}),0.049002563573680644,0.2446592214986593,0.030792350531867872,0.6283824413710162,2.5683987610271197,0.018803421476492607,2.0325755900448694,0.6421177756370171
"frozenset({'PY0101EN', 'DS0103EN', 'DA0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.03258979874473289,0.426584553731915,0.030792350531867872,0.9448462929475587,2.214909763332272,0.01689004577813307,10.396680058565599,0.5669925101421971
"frozenset({'PY0101EN', 'DS0101EN', 'DA0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0103EN'}),0.044906738957480034,0.22745086483778768,0.030792350531867872,0.6856955380577427,3.014697431670633,0.02057827391894427,2.4579642630213185,0.6997136095048402
"frozenset({'DS0103EN', 'DS0101EN', 'DA0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.03211833691840764,0.44010961487462064,0.030792350531867872,0.9587155963302751,2.178356400151349,0.016656761640294178,13.561789328592495,0.5588888777211671
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN', 'BD0111EN'})","frozenset({'DS0101EN', 'BD0101EN'})",0.03621416153460824,0.2267436720982998,0.030792350531867872,0.8502847843775427,3.7499824207174357,0.0225810185635498,5.164847972778205,0.7608869667693197
"frozenset({'DA0101EN', 'PY0101EN', 'DS0103EN', 'BD0101EN'})","frozenset({'BD0111EN', 'DS0101EN'})",0.046468456257182426,0.16339098918584435,0.030792350531867872,0.6626506024096386,4.055612893413148,0.023199823498067696,2.4799481391991045,0.7901449601078773
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN', 'DS0101EN'})","frozenset({'DS0103EN', 'BD0101EN'})",0.050858944514836316,0.12431859032913929,0.030792350531867872,0.6054461181923523,4.870117305781905,0.02446963824415551,2.2194216051276148,0.837247669708957
